C,SETP.WORLD,DVD_STATIONOWNER,AEMO,PUBLIC,2017/07/08,02:15:04,0000000285202918,,0000000285202674
I,PARTICIPANT_REGISTRATION,STATIONOWNER,1,EFFECTIVEDATE,PARTICIPANTID,STATIONID,VERSIONNO,LASTCHANGED
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,TUMUT2,6,"1998/12/07 15:15:53"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",SNOWY,TUMUT3,6,"1998/12/07 15:15:53"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/11/29 00:00:00",TIPSCO,TORRIS,6,"1998/12/07 15:15:55"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/12/07 00:00:00",PEAKCO,DRYCGT,7,"1998/12/10 08:10:39"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/12/07 00:00:00",PEAKCO,MINTARO,7,"1998/12/10 08:10:39"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/12/07 00:00:00",PEAKCO,PORTLCN,7,"1998/12/10 08:10:39"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/12/07 00:00:00",PEAKCO,SNUG,7,"1998/12/10 08:10:39"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/12/20 00:00:00",ETSACOR,OSBORNE,6,"1998/12/22 14:36:28"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/01/27 00:00:00",CSENERGY,CALLIDE,8,"1999/01/28 13:03:52"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/01/27 00:00:00",CSENERGY,STHJST,8,"1999/01/28 13:03:53"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/01/27 00:00:00",CSENERGY,SWANBANK,8,"1999/01/28 13:03:53"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/01/30 00:00:00",BORAL,ROMA,8,"1999/02/01 11:34:46"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/02/17 00:00:00",COALCO,NORTHP,10,"1999/02/17 17:08:51"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/02/17 00:00:00",COALCO,PLAYF,10,"1999/02/17 17:08:52"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/02/26 00:00:00",QTPTC,BARCALDN,11,"1999/02/25 10:19:16"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/02/26 00:00:00",QTPTC,COLNSV,11,"1999/02/25 10:19:16"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/02/26 00:00:00",QTPTC,G/STONE,11,"1999/02/25 10:19:17"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/02/26 00:00:00",QTPTC,MSTUART,11,"1999/02/25 10:19:17"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/02/26 00:00:00",QTPTC,YABULU,11,"1999/02/25 10:19:17"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/03/26 00:00:00",COALCO,NORTHP,11,"1999/03/25 07:34:23"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/03/26 00:00:00",COALCO,PLAYF,11,"1999/03/25 07:34:24"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/04/15 00:00:00",SECV,APS,16,"1999/04/20 11:07:31"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/04/15 00:00:00",SECV,VICSMLT,16,"1999/04/20 11:07:31"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/05/26 00:00:00",COALCO,PLAYF,18,"1999/05/24 10:47:30"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/05/26 00:00:00",COALCO,NORTHP,19,"1999/05/24 16:36:56"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/05/26 00:00:00",COALCO,PLAYF,19,"1999/05/24 16:36:56"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/05/26 00:00:00",COALCO,NORTHP,20,"1999/05/26 09:26:09"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/05/26 00:00:00",COALCO,PLAYF,20,"1999/05/26 09:26:09"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/07/01 00:00:00",MACQGEN,BAYSW,21,"1999/06/30 15:35:15"
